episode_step,progress,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,obs_89,obs_90,obs_91,obs_92,obs_93,obs_94,obs_95,obs_96,obs_97,obs_98,obs_99,obs_100,obs_101,obs_102,obs_103,obs_104,obs_105,obs_106,obs_107,obs_108,obs_109,obs_110,obs_111,obs_112,obs_113,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
1,0.000000,-0.432135,0.051759,-0.023856,0.793292,-0.361775,-0.056987,-0.432186,-0.051398,0.023693,0.793400,-0.361823,0.056591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035785,0.234443,-0.105307,-0.076014,0.034294,-0.256928,-0.030428,0.234267,-0.106278,0.064713,-0.029191,-0.257190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999762,0.021464,-0.021430,0.999734,-0.004104,0.008447,-0.002200,-0.006228,0.003828,-0.005185,0.002155,-0.025476,0.004670,-0.000019,-0.002893,-0.002117,0.005515,0.020874,0.007738,-0.012291,-0.010913,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.007670,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010643,-0.270180,-0.177930,-0.192709,0.020767,0.208421,0.030526,0.351387,0.113288,-0.059175,-0.126780,-0.042846,0.234537,-0.053754,0.003692,0.307723,-0.346397,0.071750,0.147648,0.157906,-0.083418
2,0.001451,-0.431419,0.056447,-0.025962,0.791771,-0.361089,-0.062126,-0.432794,-0.046712,0.021568,0.794694,-0.362407,0.051448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047614,0.288992,-0.128973,-0.101048,0.045592,-0.316350,-0.034074,0.288547,-0.131427,0.072494,-0.032700,-0.317011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999759,0.021552,-0.021516,0.999732,-0.004295,0.008436,-0.002839,-0.004457,0.003747,-0.005185,0.002155,-0.025476,0.004670,-0.000019,-0.002893,-0.002117,0.005515,0.020874,0.007738,-0.012291,-0.010913,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.007670,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.010643,-0.270180,-0.177930,-0.192709,0.020767,0.208421,0.030526,0.351387,0.113288,-0.059175,-0.126780,-0.042846,0.234537,-0.053754,0.003692,0.307723,-0.346397,0.071750,0.147648,0.157906,-0.083418,0.055158,-0.372955,-0.333072,-0.301195,0.052795,0.324204,0.008024,0.561891,0.186168,-0.046639,-0.104625,-0.112532,0.379904,-0.072247,-0.025510,0.502775,-0.660785,0.064202,0.280329,0.275025,-0.184616
3,0.002903,-0.430230,0.063318,-0.029015,0.789250,-0.359951,-0.069641,-0.433549,-0.039856,0.018436,0.796300,-0.363131,0.043911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083101,0.452640,-0.199971,-0.176153,0.079484,-0.494615,-0.045009,0.451390,-0.206874,0.095829,-0.043222,-0.496474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999757,0.021638,-0.021601,0.999730,-0.004450,0.008460,-0.002959,-0.003198,0.003795,-0.005185,0.002155,-0.025476,0.004670,-0.000019,-0.002893,-0.002117,0.005515,0.020874,0.007738,-0.012291,-0.010913,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.007670,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.055158,-0.372955,-0.333072,-0.301195,0.052795,0.324204,0.008024,0.561891,0.186168,-0.046639,-0.104625,-0.112532,0.379904,-0.072247,-0.025510,0.502775,-0.660785,0.064202,0.280329,0.275025,-0.184616,0.097780,-0.366750,-0.469666,-0.388073,0.060420,0.308180,-0.046555,0.747063,0.198986,0.041885,-0.075310,-0.182991,0.469373,-0.087571,-0.072158,0.629057,-0.954950,0.036755,0.388161,0.386981,-0.291520
4,0.004354,-0.428095,0.074553,-0.033961,0.784725,-0.357909,-0.081911,-0.434595,-0.028657,0.013293,0.798528,-0.364136,0.031589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127772,0.601134,-0.260650,-0.270189,0.121942,-0.654789,-0.043230,0.598368,-0.275976,0.092092,-0.041535,-0.658895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999754,0.021747,-0.021708,0.999727,-0.004590,0.008502,-0.003605,-0.002673,0.005877,-0.006718,-0.000913,-0.025476,0.006204,-0.001553,-0.004427,-0.002117,0.005515,0.019340,0.009272,-0.012291,-0.012447,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.007670,0.000000,-0.076655,-0.076655,0.000000,0.076655,-0.000000,-0.000000,-0.000000,0.000000,-0.076655,0.076655,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.097780,-0.366750,-0.469666,-0.388073,0.060420,0.308180,-0.046555,0.747063,0.198986,0.041885,-0.075310,-0.182991,0.469373,-0.087571,-0.072158,0.629057,-0.954950,0.036755,0.388161,0.386981,-0.291520,0.083149,-0.150589,-0.655154,-0.417801,0.050855,0.080968,-0.120109,0.974299,0.139679,0.206609,-0.037190,-0.302393,0.502606,-0.100342,-0.100425,0.707372,-1.206368,0.020214,0.461013,0.482630,-0.397970
5,0.005806,-0.425119,0.087364,-0.039441,0.778442,-0.355073,-0.095833,-0.435278,-0.015921,0.007397,0.799984,-0.364793,0.017555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159291,0.660227,-0.280671,-0.336139,0.151736,-0.716785,-0.029627,0.655993,-0.304183,0.063159,-0.028484,-0.723063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999752,0.021827,-0.021788,0.999725,-0.004695,0.008540,-0.004730,-0.003683,0.007932,-0.009786,-0.000913,-0.025476,0.010806,-0.001553,-0.004427,-0.003651,0.005515,0.019340,0.010806,-0.015359,-0.013981,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.007670,0.000000,-0.076655,-0.076655,0.000000,0.229965,-0.076655,-0.076655,-0.000000,0.000000,-0.076655,0.076655,-0.076655,-0.153310,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.083149,-0.150589,-0.655154,-0.417801,0.050855,0.080968,-0.120109,0.974299,0.139679,0.206609,-0.037190,-0.302393,0.502606,-0.100342,-0.100425,0.707372,-1.206368,0.020214,0.461013,0.482630,-0.397970,0.048854,0.300798,-0.880944,-0.432084,0.034732,-0.297161,-0.221016,1.209363,0.021022,0.400853,0.055484,-0.485449,0.459874,-0.082199,-0.122520,0.737709,-1.361844,0.025029,0.469437,0.574767,-0.534028
6,0.007257,-0.421723,0.100962,-0.045188,0.771280,-0.351840,-0.110582,-0.435780,-0.002417,0.001125,0.801054,-0.365276,0.002666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.226988,0.773988,-0.314629,-0.476468,0.215182,-0.834344,0.001314,0.766602,-0.356080,-0.002800,0.001263,-0.845248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999742,0.022219,-0.022177,0.999716,-0.004953,0.008603,-0.001809,-0.000264,0.008102,-0.009786,-0.002447,-0.025476,0.010806,-0.003087,-0.002893,-0.005185,0.005515,0.019340,0.012340,-0.019961,-0.013981,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.006136,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.076655,0.076655,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.048854,0.300798,-0.880944,-0.432084,0.034732,-0.297161,-0.221016,1.209363,0.021022,0.400853,0.055484,-0.485449,0.459874,-0.082199,-0.122520,0.737709,-1.361844,0.025029,0.469437,0.574767,-0.534028,-0.002860,0.984927,-1.147921,-0.458676,0.053395,-0.812461,-0.370544,1.449225,-0.164983,0.607674,0.152483,-0.730546,0.354712,-0.039589,-0.155378,0.728387,-1.380826,0.073170,0.401212,0.710609,-0.709618
7,0.008708,-0.416040,0.118323,-0.052026,0.759384,-0.346466,-0.129207,-0.435225,0.014743,-0.006846,0.799872,-0.364742,-0.016255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275587,0.819365,-0.319535,-0.576141,0.260292,-0.877737,0.032281,0.809473,-0.375485,-0.068812,0.031034,-0.892294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999739,0.022339,-0.022297,0.999714,-0.004950,0.008565,-0.000695,-0.001519,0.007560,-0.009786,-0.002447,-0.025476,0.010806,-0.003087,-0.002893,-0.005185,0.005515,0.019340,0.012340,-0.021495,-0.013981,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.006136,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.076655,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.002860,0.984927,-1.147921,-0.458676,0.053395,-0.812461,-0.370544,1.449225,-0.164983,0.607674,0.152483,-0.730546,0.354712,-0.039589,-0.155378,0.728387,-1.380826,0.073170,0.401212,0.710609,-0.709618,-0.057369,1.486116,-1.335434,-0.505333,0.131614,-1.180481,-0.595536,1.627823,-0.360650,0.877037,0.100255,-0.947615,0.240154,0.011336,-0.164695,0.665865,-1.288993,0.167419,0.303312,0.895149,-0.834560
8,0.010160,-0.410700,0.133737,-0.057969,0.748234,-0.341428,-0.145691,-0.434489,0.029962,-0.013894,0.798301,-0.364034,-0.033026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249813,0.673306,-0.252394,-0.520131,0.235071,-0.717234,0.045960,0.663883,-0.306216,-0.097901,0.044156,-0.731048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999733,0.022595,-0.022552,0.999708,-0.005014,0.008520,0.000617,-0.005027,0.011599,-0.009786,-0.002447,-0.025476,0.010806,-0.003087,-0.002893,-0.005185,0.013184,0.019340,0.013874,-0.021495,-0.017049,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.006136,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.383274,0.000000,0.076655,-0.076655,-0.076655,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.057369,1.486116,-1.335434,-0.505333,0.131614,-1.180481,-0.595536,1.627823,-0.360650,0.877037,0.100255,-0.947615,0.240154,0.011336,-0.164695,0.665865,-1.288993,0.167419,0.303312,0.895149,-0.834560,-0.013099,1.539126,-1.285002,-0.609254,0.244914,-1.259913,-0.858470,1.696918,-0.439534,1.250431,-0.082378,-1.032229,0.171983,0.067114,-0.145216,0.608617,-1.120503,0.256673,0.242585,1.049225,-0.821944
9,0.011611,-0.406047,0.145255,-0.062122,0.738578,-0.337063,-0.157896,-0.433387,0.041299,-0.019095,0.795956,-0.362976,-0.045497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233451,0.552482,-0.194163,-0.483266,0.218521,-0.583475,0.060889,0.543218,-0.247831,-0.129551,0.058436,-0.596983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999726,0.022878,-0.022836,0.999704,-0.005098,0.008328,0.009668,-0.007827,0.009674,-0.009786,0.002155,-0.028544,0.009272,-0.003087,-0.012097,-0.006718,0.016252,0.017806,0.016942,-0.021495,-0.021650,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.006136,-0.000000,0.000000,0.076655,-0.076655,-0.000000,-0.000000,-0.153310,-0.076655,0.153310,-0.076655,0.153310,0.000000,-0.229965,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.013099,1.539126,-1.285002,-0.609254,0.244914,-1.259913,-0.858470,1.696918,-0.439534,1.250431,-0.082378,-1.032229,0.171983,0.067114,-0.145216,0.608617,-1.120503,0.256673,0.242585,1.049225,-0.821944,0.014170,1.523054,-1.169336,-0.642274,0.260220,-1.230946,-1.062141,1.734210,-0.544700,1.510815,-0.182623,-1.087283,0.152317,0.093678,-0.117772,0.584073,-0.972019,0.281161,0.188398,1.193386,-0.761590
10,0.013062,-0.401362,0.155836,-0.065736,0.728904,-0.332687,-0.169030,-0.432053,0.051691,-0.023807,0.793119,-0.361697,-0.056905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234681,0.517306,-0.173958,-0.483979,0.218915,-0.543340,0.069604,0.507810,-0.229521,-0.147937,0.066736,-0.557132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999720,0.023104,-0.023065,0.999705,-0.005239,0.007549,0.024685,-0.012422,0.007918,-0.008252,0.009825,-0.034680,0.004670,-0.001553,-0.019767,-0.009786,0.025456,0.014738,0.021544,-0.021495,-0.032388,0.003068,0.003068,-0.003068,0.001534,-0.009204,0.001534,-0.004602,0.006136,-0.000000,0.076655,0.383274,-0.153310,-0.229965,-0.000000,-0.459929,-0.153310,0.459929,-0.153310,0.229965,0.000000,-0.229965,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.014170,1.523054,-1.169336,-0.642274,0.260220,-1.230946,-1.062141,1.734210,-0.544700,1.510815,-0.182623,-1.087283,0.152317,0.093678,-0.117772,0.584073,-0.972019,0.281161,0.188398,1.193386,-0.761590,0.065809,1.397966,-0.990851,-0.747789,0.271015,-1.216460,-1.217922,1.726938,-0.595130,1.810523,-0.240991,-1.117571,0.145472,0.096214,-0.084165,0.612365,-0.846089,0.259567,0.120399,1.258663,-0.691097
