episode_step,progress,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
1,0.000000,-0.2962,0.0178,0.0007,0.5223,-0.2019,-0.0579,-0.2981,-0.0178,0.0051,0.5221,-0.2004,0.0532,-0.0001,-0.0009,-0.0001,0.0000,-0.0000,0.0001,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0001,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.2353,0.9997,0.0000,0.0249,-0.0249,-0.0007,0.9997,0.0517,0.0132,0.1965,-0.0990,0.0126,0.1872,-0.0990,0.0126,0.1872,0.0807,0.0133,0.1983,-0.1354,0.0174,0.1276,0.1240,0.0174,0.1434,0.1026,-0.0101,-0.1369,-0.0499,-0.0145,-0.1501,-0.0043,0.0053,0.1150,0.0703,0.0071,-0.0155,-0.0524,0.0062,-0.0295,0.0774,0.0098,-0.0386,-0.0530,0.0078,-0.0491,0.0000,0.1847,0.3736,-0.0460,-0.0568,-0.2481,-0.0211,0.0717,0.0631,-0.2464,0.0820,-0.0272,-0.0979,0.2756,-0.1329,-0.0406,-0.0156,0.3903,-0.0205,0.1590,0.0614,-0.7107
2,0.000976,-0.0145,-0.0447,0.1667,0.0904,-0.2353,0.0083,0.1862,-0.1293,0.0047,-0.1856,-0.1665,0.3065,0.3062,0.3089,-0.3058,-0.2402,-0.0943,0.0983,-0.0639,-0.0008,0.2408,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.2579,0.9976,0.0000,0.0686,-0.0684,0.0627,0.9957,0.0517,0.0132,0.1495,-0.0990,0.0126,0.1402,-0.0990,0.0126,0.1402,0.0807,0.0133,0.1513,-0.1354,0.0174,0.0806,0.1240,0.0174,0.0965,0.1026,-0.0101,-0.1838,-0.0499,-0.0145,-0.1970,-0.0043,0.0053,0.0680,0.0703,0.0071,-0.0625,-0.0524,0.0062,-0.0764,0.0774,0.0098,-0.0855,-0.0530,0.0078,-0.0961,0.0010,0.2866,0.0139,0.0416,-0.1478,0.0341,-0.0590,-0.0188,-0.1583,0.1841,0.0852,-0.0856,0.2134,-0.1514,-0.0351,0.0357,0.3163,0.2868,-0.0847,0.3541,-0.1482,-0.3848
3,0.001951,-0.0145,-0.0447,0.1667,0.0904,-0.2353,0.0083,0.1862,-0.1293,0.0047,-0.1856,-0.1665,0.3065,0.3062,0.3089,-0.3058,-0.2402,-0.0943,0.0983,-0.0639,-0.0008,0.2408,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.2433,0.9976,0.0000,0.0686,-0.0684,0.0627,0.9957,0.0517,0.0132,0.1517,-0.0990,0.0126,0.1424,-0.0990,0.0126,0.1424,0.0807,0.0133,0.1535,-0.1354,0.0174,0.0829,0.1240,0.0174,0.0987,0.1026,-0.0101,-0.1816,-0.0499,-0.0145,-0.1948,-0.0043,0.0053,0.0702,0.0703,0.0071,-0.0602,-0.0524,0.0062,-0.0742,0.0774,0.0098,-0.0833,-0.0530,0.0078,-0.0939,0.0020,0.2828,0.0620,0.0148,0.0499,0.0005,-0.0549,-0.0453,-0.0821,0.1099,0.0861,-0.0690,0.2298,0.0141,-0.0320,0.0114,0.5415,0.3084,-0.0478,0.2122,-0.1659,-0.3154
4,0.002927,-0.0212,-0.0389,0.1666,0.0681,-0.2489,0.0085,0.1919,-0.1282,0.0047,-0.1847,-0.1665,0.3344,0.3038,0.3086,-0.3057,-0.2446,-0.0943,0.0968,-0.0637,-0.0053,0.2399,-0.5399,0.5531,-0.0130,-2.7231,-1.4086,0.0036,0.6562,0.1089,-0.0001,0.0575,0.0002,2.8053,-0.2560,-0.0179,0.0047,-1.3076,-0.0000,-0.0861,0.0191,-0.2911,-0.0963,0.2351,0.9973,0.0000,0.0731,-0.0730,0.0407,0.9965,0.0561,0.0121,0.1487,-0.0948,0.0125,0.1440,-0.0948,0.0125,0.1440,0.0851,0.0120,0.1497,-0.1330,0.0179,0.0856,0.1267,0.0162,0.0936,0.1001,-0.0107,-0.1852,-0.0493,-0.0149,-0.1941,-0.0024,0.0051,0.0689,0.0694,0.0067,-0.0635,-0.0526,0.0077,-0.0741,0.0763,0.0093,-0.0866,-0.0532,0.0097,-0.0937,0.0029,0.2039,0.1079,-0.0204,0.1539,-0.0786,0.0061,-0.0251,0.0228,0.0528,0.0749,-0.0430,0.1254,0.1034,-0.0170,-0.0185,0.5550,0.3301,-0.0850,0.0256,-0.0579,-0.1924
5,0.003902,-0.0268,-0.0310,0.1663,0.0195,-0.2779,0.0085,0.2054,-0.1269,0.0047,-0.1843,-0.1665,0.3681,0.3001,0.3085,-0.3057,-0.2627,-0.1115,0.0962,-0.0631,-0.0097,0.2377,-0.1306,0.2278,-0.0109,-1.9841,-1.5756,0.0009,0.7136,0.1126,0.0000,0.0082,0.0001,0.7242,-0.2277,-0.0028,0.0021,-0.4379,-1.5603,-0.0078,0.0371,-0.2026,-0.0276,0.2325,0.9971,0.0000,0.0760,-0.0760,-0.0060,0.9971,0.0621,0.0111,0.1471,-0.0889,0.0127,0.1481,-0.0889,0.0127,0.1481,0.0911,0.0108,0.1469,-0.1292,0.0185,0.0912,0.1306,0.0147,0.0893,0.0979,-0.0124,-0.1872,-0.0480,-0.0160,-0.1910,0.0005,0.0047,0.0696,0.0689,0.0056,-0.0651,-0.0522,0.0084,-0.0715,0.0755,0.0080,-0.0883,-0.0527,0.0104,-0.0911,0.0039,0.1621,0.1174,-0.0259,0.1653,-0.0533,0.0122,-0.0365,0.0211,0.0095,0.0589,-0.0537,0.1239,0.1835,-0.0101,-0.0313,0.5411,0.4089,-0.0836,0.0098,-0.0710,-0.2584
6,0.004878,-0.0275,-0.0306,0.1662,0.0035,-0.2911,0.0085,0.2126,-0.1252,0.0047,-0.1842,-0.1665,0.3695,0.2964,0.3085,-0.3057,-0.2643,-0.1257,0.0962,-0.0628,-0.0122,0.2385,-0.0087,-0.0980,-0.0026,-0.6616,-0.5354,0.0001,0.4211,0.1189,0.0000,0.0021,-0.0000,-0.2690,-0.3062,-0.0009,0.0004,0.0543,-0.7585,-0.0006,0.0107,-0.1863,0.0642,0.2330,0.9974,-0.0000,0.0725,-0.0725,-0.0231,0.9971,0.0654,0.0114,0.1460,-0.0855,0.0141,0.1501,-0.0855,0.0141,0.1501,0.0944,0.0109,0.1452,-0.1270,0.0200,0.0940,0.1327,0.0143,0.0868,0.0970,-0.0134,-0.1882,-0.0482,-0.0163,-0.1896,0.0022,0.0051,0.0698,0.0687,0.0049,-0.0660,-0.0521,0.0085,-0.0702,0.0752,0.0071,-0.0893,-0.0526,0.0105,-0.0898,0.0049,0.1418,0.0678,-0.0232,0.1792,-0.0693,-0.0117,-0.0377,0.0094,-0.0100,0.0295,-0.0363,0.1121,0.1628,-0.0138,-0.0254,0.5194,0.4283,-0.0660,0.0087,-0.0531,-0.2684
7,0.005854,-0.0269,-0.0344,0.1662,0.0028,-0.2901,0.0085,0.2169,-0.1242,0.0047,-0.1842,-0.1665,0.3599,0.2925,0.3084,-0.3057,-0.2612,-0.1334,0.0961,-0.0628,-0.0154,0.2388,0.0559,-0.2466,-0.0004,0.3881,0.4596,-0.0001,0.0868,0.0084,0.0000,0.0004,-0.0001,-0.5779,-0.0919,-0.0002,-0.0000,0.1958,-0.1840,-0.0004,0.0011,-0.1596,-0.0280,0.2345,0.9979,-0.0000,0.0652,-0.0652,-0.0299,0.9974,0.0656,0.0120,0.1453,-0.0853,0.0151,0.1500,-0.0853,0.0151,0.1500,0.0946,0.0114,0.1445,-0.1269,0.0207,0.0940,0.1328,0.0144,0.0858,0.0956,-0.0139,-0.1891,-0.0495,-0.0166,-0.1899,0.0021,0.0054,0.0694,0.0680,0.0045,-0.0666,-0.0528,0.0082,-0.0704,0.0743,0.0066,-0.0900,-0.0534,0.0100,-0.0901,0.0059,0.1421,0.0680,-0.0264,0.1575,-0.0889,-0.0357,-0.0337,0.0158,0.0020,0.0214,-0.0261,0.1267,0.1572,-0.0226,-0.0163,0.5137,0.4769,-0.0654,0.0048,-0.0353,-0.2940
8,0.006829,-0.0260,-0.0376,0.1662,0.0108,-0.2812,0.0085,0.2173,-0.1244,0.0047,-0.1842,-0.1665,0.3523,0.2918,0.3084,-0.3057,-0.2587,-0.1349,0.0961,-0.0628,-0.0175,0.2380,0.0709,-0.1974,-0.0001,0.6846,0.7454,0.0000,-0.0112,-0.0437,0.0000,0.0001,-0.0001,-0.4950,-0.0177,-0.0001,-0.0000,0.1583,-0.0620,-0.0002,0.0001,-0.1370,-0.0736,0.2355,0.9982,0.0000,0.0604,-0.0604,-0.0283,0.9978,0.0660,0.0130,0.1458,-0.0849,0.0163,0.1500,-0.0849,0.0163,0.1500,0.0950,0.0124,0.1450,-0.1264,0.0217,0.0939,0.1333,0.0149,0.0865,0.0943,-0.0142,-0.1890,-0.0508,-0.0169,-0.1898,0.0027,0.0060,0.0697,0.0680,0.0044,-0.0663,-0.0527,0.0078,-0.0702,0.0741,0.0065,-0.0897,-0.0535,0.0095,-0.0899,0.0068,0.1587,0.0739,-0.0331,0.1426,-0.1057,-0.0446,-0.0339,0.0137,-0.0016,0.0245,-0.0208,0.1239,0.1591,-0.0283,-0.0109,0.5206,0.5082,-0.0690,0.0144,-0.0372,-0.3216
9,0.007805,-0.0246,-0.0405,0.1662,0.0250,-0.2659,0.0085,0.2163,-0.1259,0.0047,-0.1842,-0.1665,0.3441,0.2922,0.3084,-0.3057,-0.2563,-0.1361,0.0961,-0.0628,-0.0195,0.2366,0.0624,-0.1115,-0.0001,0.6793,0.7265,0.0000,-0.0732,-0.0958,0.0000,0.0000,-0.0000,-0.3443,0.0468,-0.0000,0.0000,0.0985,-0.0700,-0.0000,0.0000,-0.0577,-0.0675,0.2365,0.9985,-0.0000,0.0547,-0.0546,-0.0236,0.9982,0.0649,0.0135,0.1457,-0.0861,0.0168,0.1494,-0.0861,0.0168,0.1494,0.0938,0.0129,0.1450,-0.1273,0.0219,0.0931,0.1323,0.0152,0.0866,0.0922,-0.0147,-0.1894,-0.0529,-0.0174,-0.1903,0.0018,0.0062,0.0694,0.0669,0.0042,-0.0666,-0.0539,0.0073,-0.0707,0.0728,0.0062,-0.0900,-0.0548,0.0089,-0.0903,0.0078,0.1775,0.0730,-0.0380,0.1435,-0.1124,-0.0412,-0.0388,0.0032,-0.0158,0.0267,-0.0203,0.1119,0.1748,-0.0287,-0.0083,0.5384,0.5284,-0.0710,0.0270,-0.0544,-0.3529
10,0.008780,-0.0236,-0.0421,0.1662,0.0358,-0.2543,0.0085,0.2149,-0.1277,0.0047,-0.1842,-0.1665,0.3388,0.2934,0.3084,-0.3057,-0.2547,-0.1377,0.0961,-0.0628,-0.0200,0.2354,0.0533,-0.0721,-0.0000,0.5247,0.5656,0.0000,-0.0757,-0.0987,-0.0000,-0.0000,0.0000,-0.2604,0.0728,0.0000,0.0000,0.0790,-0.1056,-0.0026,0.0001,-0.0131,-0.0729,0.2370,0.9987,0.0000,0.0504,-0.0504,-0.0200,0.9985,0.0643,0.0141,0.1458,-0.0867,0.0174,0.1490,-0.0867,0.0174,0.1490,0.0933,0.0135,0.1452,-0.1278,0.0222,0.0925,0.1320,0.0156,0.0869,0.0906,-0.0151,-0.1895,-0.0545,-0.0179,-0.1905,0.0015,0.0064,0.0694,0.0663,0.0040,-0.0666,-0.0545,0.0069,-0.0709,0.0720,0.0060,-0.0901,-0.0555,0.0084,-0.0905,0.0088,0.1997,0.0658,-0.0426,0.1457,-0.1128,-0.0368,-0.0427,-0.0082,-0.0232,0.0266,-0.0211,0.1168,0.1851,-0.0248,-0.0043,0.5501,0.5450,-0.0756,0.0501,-0.0718,-0.3767
