q0_cmd,q0_pos
-0.175000,0.012272
-0.175000,0.012272
-0.153865,0.012272
-0.153865,0.012272
-0.153865,0.012272
-0.136324,0.012272
-0.136324,0.012272
-0.123742,0.012272
-0.123742,0.012272
-0.117100,0.012272
-0.117100,0.012272
-0.116915,0.012272
-0.123201,0.012272
-0.135469,0.012272
-0.135469,0.012272
-0.135469,0.012272
-0.135469,0.012272
-0.152764,0.012272
-0.152764,0.012272
-0.173737,0.012272
-0.173737,0.012272
-0.196757,0.012272
-0.196757,0.012272
-0.220028,0.012272
-0.241740,0.012272
-0.241740,0.012272
-0.241740,0.012272
-0.260201,0.012272
-0.260201,0.010738
-0.273973,0.006136
-0.273973,0.003068
-0.281983,0.000000
-0.281983,-0.003068
-0.283607,-0.006136
-0.283607,-0.010738
-0.278720,-0.013806
-0.278720,-0.019942
-0.267701,-0.024544
-0.267701,-0.027612
-0.231112,-0.029146
-0.231112,-0.032214
-0.231112,-0.035282
-0.208393,-0.035282
-0.208393,-0.039884
-0.185019,-0.042951
-0.185019,-0.044485
-0.162813,-0.047553
-0.143503,-0.049087
-0.143503,-0.053689
-0.143503,-0.056757
-0.128594,-0.059825
-0.128594,-0.062893
-0.119246,-0.064427
-0.119246,-0.067495
-0.116188,-0.069029
-0.116188,-0.073631
-0.119658,-0.079767
-0.119658,-0.081301
-0.129386,-0.084369
-0.129386,-0.087437
-0.164156,-0.092039
-0.164156,-0.093573
-0.164156,-0.096641
-0.164156,-0.098175
-0.186490,-0.101243
-0.186490,-0.102777
-0.209876,-0.105845
-0.209876,-0.108913
-0.232493,-0.111981
-0.232493,-0.118117
-0.252579,-0.121184
-0.252579,-0.122718
-0.268570,-0.125786
-0.268570,-0.128854
-0.279219,-0.131922
-0.279219,-0.133456
-0.283699,-0.136524
-0.283699,-0.138058
-0.281659,-0.141126
-0.281659,-0.144194
-0.273259,-0.147262
-0.273259,-0.148796
-0.259153,-0.153398
-0.259153,-0.156466
-0.240439,-0.159534
-0.240439,-0.162602
-0.218576,-0.164136
-0.218576,-0.167204
-0.195266,-0.168738
-0.195266,-0.173340
-0.172324,-0.176408
-0.172324,-0.179476
-0.151538,-0.182544
-0.151538,-0.184078
-0.134527,-0.184078
-0.134527,-0.184078
-0.116731,-0.182544
-0.116731,-0.181010
-0.116731,-0.179476
-0.124373,-0.179476
-0.124373,-0.176408
-0.124373,-0.174874
-0.124373,-0.171806
-0.124373,-0.167204
-0.137304,-0.164136
-0.137304,-0.161068
-0.155118,-0.158000
-0.155118,-0.154932
-0.176428,-0.151864
-0.176428,-0.145728
-0.199574,-0.144194
-0.199574,-0.144194
-0.222753,-0.144194
-0.222753,-0.144194
-0.244160,-0.144194
-0.262128,-0.145728
-0.262128,-0.148796
-0.262128,-0.151864
-0.275256,-0.156466
-0.275256,-0.159534
-0.282522,-0.162602
-0.283361,-0.167204
-0.283361,-0.171806
-0.283361,-0.173340
-0.277707,-0.176408
-0.277707,-0.179476
-0.266001,-0.184078
-0.249154,-0.185612
-0.249154,-0.188680
-0.228478,-0.193282
-0.228478,-0.196350
-0.228478,-0.197884
-0.205584,-0.199418
-0.182255,-0.200951
-0.182255,-0.204019
-0.182255,-0.207087
-0.160308,-0.210155
-0.141453,-0.211689
-0.141453,-0.211689
-0.127158,-0.211689
-0.127158,-0.211689
-0.127158,-0.210155
-0.118537,-0.208621
-0.116261,-0.208621
-0.116261,-0.207087
-0.120507,-0.204019
-0.120507,-0.199418
-0.130944,-0.193282
-0.130944,-0.190214
-0.146761,-0.187146
-0.146761,-0.184078
-0.166724,-0.181010
-0.166724,-0.177942
-0.189279,-0.174874
-0.189279,-0.171806
-0.212669,-0.168738
-0.212669,-0.165670
-0.235072,-0.164136
-0.235072,-0.162602
-0.254744,-0.162602
-0.270151,-0.162602
-0.270151,-0.162602
-0.270151,-0.164136
-0.280095,-0.165670
-0.280095,-0.168738
-0.283800,-0.171806
-0.283800,-0.174874
-0.280978,-0.177942
-0.280978,-0.182544
-0.271849,-0.185612
-0.271849,-0.187146
-0.257123,-0.193282
-0.257123,-0.196350
-0.237948,-0.197884
-0.237948,-0.200951
-0.215817,-0.204019
-0.215817,-0.205553
-0.132805,-0.208621
-0.132805,-0.211689
-0.132805,-0.213223
-0.132805,-0.214757
-0.132805,-0.217825
-0.132805,-0.217825
-0.132805,-0.217825
-0.132805,-0.214757
-0.121577,-0.211689
-0.121577,-0.211689
-0.116457,-0.211689
-0.116457,-0.211689
-0.117845,-0.210155
-0.117845,-0.208621
-0.125631,-0.207087
-0.125631,-0.205553
-0.139210,-0.202485
-0.179146,-0.199418
-0.179146,-0.193282
-0.179146,-0.190214
-0.179146,-0.187146
-0.179146,-0.184078
-0.202393,-0.181010
-0.202393,-0.179476
-0.225453,-0.176408
-0.246531,-0.174874
-0.246531,-0.173340
-0.246531,-0.170272
-0.263984,-0.170272
-0.263984,-0.171806
-0.276454,-0.173340
-0.276454,-0.174874
-0.282969,-0.179476
-0.282969,-0.182544
-0.283021,-0.185612
-0.283021,-0.187146
-0.276607,-0.190214
-0.276607,-0.193282
-0.264227,-0.199418
-0.264227,-0.202485
-0.246843,-0.205553
-0.246843,-0.208621
-0.225811,-0.211689
-0.225811,-0.213223
-0.202769,-0.214757
-0.202769,-0.216291
-0.179511,-0.219359
-0.179511,-0.222427
-0.157849,-0.223961
